PartitionKey,RowKey,source,title,description,instructor,level,role,product,duration,rating_count,rating_average,url
ms-learn,c6647b6f-c1d2-4b8a-a831-27414c1bed4e,MS Learn,Assign an asset to an insurance policy in Dynamics 365 Business Central,Do you want to assign assets to insurance policies in Microsoft Dynamics 365 Business Central? This module shows how you can accomplish this task through a purchase document or through the insurance journal.,,intermediate,business-user,dynamics-business-central,36,8,5.0,https://docs.microsoft.com/en-us/learn/modules/assign-asset-insurance-policy/?WT.mc_id=api_CatalogApi
ms-learn,1820b933-f581-49e4-a848-635d4c944d43,MS Learn,Implement the Data management package API for Finance and Operations apps,The Data management framework's package representational state transfer (REST) application programming interface (API) lets you integrate with Finance and Operations apps by using data packages.,,advanced,developer,dynamics-365,46,146,4.53,https://docs.microsoft.com/en-us/learn/modules/data-package-api-finance-operations/?WT.mc_id=api_CatalogApi
ms-learn,0a513322-67b3-4d35-b18b-2661d4b1bf43,MS Learn,Implement the Data management package API for Finance and Operations apps,The Data management framework's package representational state transfer (REST) application programming interface (API) lets you integrate with Finance and Operations apps by using data packages.,,advanced,developer,dynamics-finance-operations,46,146,4.53,https://docs.microsoft.com/en-us/learn/modules/data-package-api-finance-operations/?WT.mc_id=api_CatalogApi
ms-learn,d44b5357-9d46-4ce9-b1de-4250a9d03b41,MS Learn,Implement the Data management package API for Finance and Operations apps,The Data management framework's package representational state transfer (REST) application programming interface (API) lets you integrate with Finance and Operations apps by using data packages.,,advanced,developer,dynamics-finance,46,146,4.53,https://docs.microsoft.com/en-us/learn/modules/data-package-api-finance-operations/?WT.mc_id=api_CatalogApi
ms-learn,aa41dcd3-4de3-4449-a93c-d94d0ba96e3a,MS Learn,Implement the Data management package API for Finance and Operations apps,The Data management framework's package representational state transfer (REST) application programming interface (API) lets you integrate with Finance and Operations apps by using data packages.,,advanced,developer,dynamics-scm,46,146,4.53,https://docs.microsoft.com/en-us/learn/modules/data-package-api-finance-operations/?WT.mc_id=api_CatalogApi
ms-learn,f594add9-dfca-4cf6-bcd6-c4e561770f17,MS Learn,Configure electronic reporting in Dynamics 365 Finance,This module provides information about how to configure and work with electronic reporting.,,intermediate,functional-consultant,dynamics-365,46,299,4.45,https://docs.microsoft.com/en-us/learn/modules/configure-electronic-reporting-finance-operations/?WT.mc_id=api_CatalogApi
ms-learn,760b67b5-58f6-43e0-9524-22245293f76c,MS Learn,Configure electronic reporting in Dynamics 365 Finance,This module provides information about how to configure and work with electronic reporting.,,intermediate,functional-consultant,dynamics-finance,46,299,4.45,https://docs.microsoft.com/en-us/learn/modules/configure-electronic-reporting-finance-operations/?WT.mc_id=api_CatalogApi
ms-learn,94cb656c-724c-40ec-b18d-190680a40c37,MS Learn,Configure electronic reporting in Dynamics 365 Finance,This module provides information about how to configure and work with electronic reporting.,,intermediate,functional-consultant,dynamics-finance-operations,46,299,4.45,https://docs.microsoft.com/en-us/learn/modules/configure-electronic-reporting-finance-operations/?WT.mc_id=api_CatalogApi
ms-learn,bddf7705-4ac0-4d5b-a048-bac8124f8e11,MS Learn,"Configure forms, charts, and dashboards in model driven apps","Learn how configure forms, charts, and dashboards.",,intermediate,functional-consultant,dynamics-365,67,497,4.58,https://docs.microsoft.com/en-us/learn/modules/configure-model-driven-apps-customer-engagement-apps/?WT.mc_id=api_CatalogApi
ms-learn,43c178da-2925-461b-a350-1af908e51312,MS Learn,"Configure forms, charts, and dashboards in model driven apps","Learn how configure forms, charts, and dashboards.",,intermediate,functional-consultant,power-platform,67,497,4.58,https://docs.microsoft.com/en-us/learn/modules/configure-model-driven-apps-customer-engagement-apps/?WT.mc_id=api_CatalogApi
ms-learn,eab09ca6-b8a7-49b8-9ccc-da7ad1f4ef4d,MS Learn,Create classes in Finance and Operations apps,"Classes are blocks of code that contain data and methods. When developing for Finance and Operations apps, you will use the X++ language to create new classes.",,intermediate,developer,dynamics-365,80,195,4.78,https://docs.microsoft.com/en-us/learn/modules/create-classes-finance-operations/?WT.mc_id=api_CatalogApi
ms-learn,c2189732-c321-4a03-848d-4969eb6ce395,MS Learn,Create classes in Finance and Operations apps,"Classes are blocks of code that contain data and methods. When developing for Finance and Operations apps, you will use the X++ language to create new classes.",,intermediate,developer,dynamics-finance-operations,80,195,4.78,https://docs.microsoft.com/en-us/learn/modules/create-classes-finance-operations/?WT.mc_id=api_CatalogApi
ms-learn,e6d2501d-5dd4-4f30-9feb-eeae691997bd,MS Learn,Create classes in Finance and Operations apps,"Classes are blocks of code that contain data and methods. When developing for Finance and Operations apps, you will use the X++ language to create new classes.",,intermediate,developer,dynamics-finance,80,195,4.78,https://docs.microsoft.com/en-us/learn/modules/create-classes-finance-operations/?WT.mc_id=api_CatalogApi
ms-learn,7d3c0267-0b40-466b-a11f-e873dcf04c8d,MS Learn,Create classes in Finance and Operations apps,"Classes are blocks of code that contain data and methods. When developing for Finance and Operations apps, you will use the X++ language to create new classes.",,intermediate,developer,dynamics-scm,80,195,4.78,https://docs.microsoft.com/en-us/learn/modules/create-classes-finance-operations/?WT.mc_id=api_CatalogApi
ms-learn,986a232a-2704-4aab-9cec-d007abdde7a7,MS Learn,Set up and manage Dynamics 365 Marketing,"Turn prospects into business relationships by using Microsoft Dynamics 365 Marketing. Move beyond basic email marketing to identify and develop more sales-ready leads. Easily connect sales and marketing, automate processes, and make smarter decisions to maximize your marketing return on investment.",,intermediate,administrator,dynamics-365,56,590,4.63,https://docs.microsoft.com/en-us/learn/modules/get-started-set-up-and-manage/?WT.mc_id=api_CatalogApi
ms-learn,223cf69b-7423-4c63-9d1a-24e56cec4c7f,MS Learn,Set up and manage Dynamics 365 Marketing,"Turn prospects into business relationships by using Microsoft Dynamics 365 Marketing. Move beyond basic email marketing to identify and develop more sales-ready leads. Easily connect sales and marketing, automate processes, and make smarter decisions to maximize your marketing return on investment.",,intermediate,administrator,dynamics-marketing,56,590,4.63,https://docs.microsoft.com/en-us/learn/modules/get-started-set-up-and-manage/?WT.mc_id=api_CatalogApi
